artistName,kind,primaryGenreName,trackName
Journey,song,Rock,Open Arms (2024 Remaster)
Paramore,song,Soundtrack,Decode
Michael Jackson,song,Pop,Thriller
Britney Spears,song,Pop,Womanizer
Carrie Underwood,song,Country,All-American Girl
Skrillex,song,Dance,Scary Monsters and Nice Sprites
Skrillex,song,Dance,Bangarang (feat. Sirah)
Charli XCX,song,Soundtrack,Boom Clap
USHER,song,R&B/Soul,Yeah! (feat. Lil Jon & Ludacris)
P!nk,song,Pop,F**kin' Perfect
Beyoncé & Shakira,song,R&B/Soul,Beautiful Liar
Nickelback,song,Rock,Far Away
Michael Jackson,song,Pop,Smooth Criminal
Baauer,song,Dance,Harlem Shake
Jason Derulo,song,Pop,Trumpets
Buckcherry,song,Hard Rock,Sorry
Ed Sheeran,song,Pop,Photograph
Meghan Trainor,song,Pop,Dear Future Husband
Erick Sermon & Marvin Gaye,song,Soundtrack,Music
Nickelback,song,Rock,Photograph
Lee Brice,song,Country,Hard to Love
Journey,song,Rock,Separate Ways (Worlds Apart) [2024 Remaster]
Fifth Harmony,song,Pop,Worth It (feat. Kid Ink)
Carrie Underwood,song,Country,Cowboy Casanova
One Direction,song,Pop,One Thing
Billy Joel,song,Rock,Piano Man
The Ting Tings,song,Pop,That's Not My Name
John Mayer,song,Pop,Gravity
Michael Jackson,song,Pop,Beat It
Aerosmith,song,Soundtrack,I Don't Want to Miss a Thing
Tim McGraw,song,Country,Live Like You Were Dying
Beyoncé,song,Pop,XO
Big & Rich,song,Country,Save a Horse (Ride a Cowboy)
Jason Derulo,song,Pop,Wiggle (feat. Snoop Dogg)
Kenny Chesney,song,Country,Somewhere With You
Adam Lambert,song,Pop,Whataya Want from Me
Disturbed,song,Hard Rock,The Sound of Silence
David Archuleta,song,Pop,Crush
"Hollis, Macklemore & Ryan Lewis, Macklemore & Ryan Lewis",song,Hip-Hop/Rap,White Walls (feat. ScHoolboy Q & Hollis)
Kansas,song,Rock,Carry On Wayward Son
Paramore,song,Alternative,Ain't It Fun
Lady Gaga & Bradley Cooper,song,Soundtrack,Shallow
Michael Jackson,song,Pop,The Way You Make Me Feel
Leona Lewis,song,Hard Rock,Better In Time
Michael Jackson,song,Pop,Don't Stop 'Til You Get Enough
Jamie Foxx,song,R&B/Soul,Blame It
Beyoncé,song,Pop,***Flawless (feat. Chimamanda Ngozi Adichie)
Ed Sheeran,song,Pop,Lego House
Paramore,song,Alternative,Still Into You
Hunter Hayes,song,Country,I Want Crazy (Encore)
Kelly Clarkson,song,Pop,Already Gone
Michael Jackson,song,Pop,P.Y.T. (Pretty Young Thing)
AC/DC,song,Hard Rock,Back In Black
P!nk,song,Pop,Please Don't Leave Me
Train,song,Rock,Drops of Jupiter (Tell Me)
Jordin Sparks,song,Pop,Tattoo
P!nk,song,Pop,Blow Me (One Last Kiss)
Trey Songz,song,R&B/Soul,Say Aah (feat. Fabolous)
David Guetta,song,Dance,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)"
Journey,song,Rock,Wheel In the Sky (2024 Remaster)
Carrie Underwood,song,Country,Good Girl
Justin Timberlake,song,Soundtrack,CAN'T STOP THE FEELING!
Carrie Underwood,song,Country,Undo It
MGMT,song,Alternative,Electric Feel
One Direction,song,Pop,Night Changes
Jason Derulo,song,Pop,Want to Want Me
Beyoncé,song,Pop,Pretty Hurts
Glen Hansard & Marketa Irglová,song,Soundtrack,Falling Slowly
KONGOS,song,Alternative,Come With Me Now
Johnny Cash,song,Country,Ring of Fire
The Chainsmokers & Coldplay,song,Dance,Something Just Like This
Flo Rida,song,Hip-Hop/Rap,In the Ayer (feat. Will.I.am)
The Script,song,Pop,For the First Time
Beyoncé,song,Pop,Crazy in Love (feat. Jay-Z)
Ed Sheeran,song,Pop,Castle on the Hill
"Jack Ü, Skrillex & Diplo",song,Dance,Where Are Ü Now (feat. Justin Bieber)
Sean Kingston & Justin Bieber,song,Pop,Eenie Meenie
Charlie Puth,song,Pop,One Call Away
Kansas,song,Rock,Carry On Wayward Son
Paramore,song,Alternative,Ain't It Fun
